OriginalName,Organizations,Type,CleanName,CleanNameNoMiddle,IsDuplicate
"James, William R.",Bankruptcy,Govenor In Council Appointments,"James, William","James, William",FALSE
"Jayas, Digvir S.",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"Jayas, Digvir","Jayas, Digvir",FALSE
"Kalman, Harold D.",Historic Sites and Monuments Board of Canada,Govenor In Council Appointments,"Kalman, Harold","Kalman, Harold",FALSE
"Kelly, Robert P.",Canada Mortgage and Housing Corporation,Govenor In Council Appointments,"Kelly, Robert","Kelly, Robert",FALSE
"Laforge, Jacques M.",Canadian Dairy Commission,Govenor In Council Appointments,"Laforge, Jacques","Laforge, Jacques",FALSE
"Leach, Stephen A.",Canadian International Trade Tribunal,Govenor In Council Appointments,"Leach, Stephen","Leach, Stephen",FALSE
"Lessard, Michel M.",Montr_al Port Authority,Govenor In Council Appointments,"Lessard, Michel","Lessard, Michel",FALSE
"Lewis, Leanne M.",Canadian Centre on Substance Abuse,Govenor In Council Appointments,"Lewis, Leanne","Lewis, Leanne",FALSE
"Lochnan, Katharine A.",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Lochnan, Katharine","Lochnan, Katharine",FALSE
"MacAulay, Philip J.",Immigration and Refugee Board,Govenor In Council Appointments,"MacAulay, Philip","MacAulay, Philip",FALSE
"MacDonald, Brian L.",Historic Sites and Monuments Board of Canada,Govenor In Council Appointments,"MacDonald, Brian","MacDonald, Brian",FALSE
"MacDonald, Christopher P.",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"MacDonald, Christopher","MacDonald, Christopher",FALSE
"MacDonald, Rodney J.",Canada-Nova Scotia Offshore Petroleum Board,Govenor In Council Appointments,"MacDonald, Rodney","MacDonald, Rodney",FALSE
"MacIntosh, Wayne B.",Canada Lands Company Limited,Govenor In Council Appointments,"MacIntosh, Wayne","MacIntosh, Wayne",FALSE
"MacLeod, Kevin S.",Advisory Committee on Vice-Regal Appointments,Govenor In Council Appointments,"MacLeod, Kevin","MacLeod, Kevin",FALSE
"Mahaffy, Douglas W.",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Mahaffy, Douglas","Mahaffy, Douglas",FALSE
"Manning, Robert M.",Canada Revenue Agency,Govenor In Council Appointments,"Manning, Robert","Manning, Robert",FALSE
"Matthews, Si?n M.",Canada Post Corporation,Govenor In Council Appointments,"Matthews, Si?n","Matthews, Si?n",FALSE
"McBean, David E.",Immigration and Refugee Board,Govenor In Council Appointments,"McBean, David","McBean, David",FALSE
"McCarthy, Emily K.",Office of the Information Commissioner,Govenor In Council Appointments,"McCarthy, Emily","McCarthy, Emily",FALSE
"McCarthy, Todd J.",Canada Revenue Agency,Govenor In Council Appointments,"McCarthy, Todd","McCarthy, Todd",FALSE
"McCulloch, Robert G.",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"McCulloch, Robert","McCulloch, Robert",FALSE
"McDougall, John R.",National Research Council of Canada,Govenor In Council Appointments,"McDougall, John","McDougall, John",FALSE
"McFetridge, Donald G.",Competition Tribunal,Govenor In Council Appointments,"McFetridge, Donald","McFetridge, Donald",FALSE
"McIlroy, James P.",Internal Trade Agreement: Dispute Resolution Roster of Panellists,Govenor In Council Appointments,"McIlroy, James","McIlroy, James",FALSE
"McKane, James A.",Great Lakes Fishery Commission,Govenor In Council Appointments,"McKane, James","McKane, James",FALSE
"McPherson, Arran A.",International Council for the Exploration of the Sea,Govenor In Council Appointments,"McPherson, Arran","McPherson, Arran",FALSE
"Miller, James R.",Historic Sites and Monuments Board of Canada,Govenor In Council Appointments,"Miller, James","Miller, James",FALSE
"Minich, Edward A.",Hamilton Port Authority,Govenor In Council Appointments,"Minich, Edward","Minich, Edward",FALSE
"Mitchell, Brian R.",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Mitchell, Brian","Mitchell, Brian",FALSE
"Molnar, Candice J.",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Molnar, Candice","Molnar, Candice",FALSE
"Montgomery, Keith C.",Competition Tribunal,Govenor In Council Appointments,"Montgomery, Keith","Montgomery, Keith",FALSE
"Mooney, Stephen T.",National Research Council of Canada,Govenor In Council Appointments,"Mooney, Stephen","Mooney, Stephen",FALSE
"Morris, Sandy J.",Immigration and Refugee Board,Govenor In Council Appointments,"Morris, Sandy","Morris, Sandy",FALSE
"Murray, Larry E.",Independent Review Panel for Defence Acquisition,Govenor In Council Appointments,"Murray, Larry","Murray, Larry",FALSE
"Muzyka, Daniel F.",Natural Sciences and Engineering Research Council,Govenor In Council Appointments,"Muzyka, Daniel","Muzyka, Daniel",FALSE
"O'Brien, Gail B.",National Arts Centre Corporation,Govenor In Council Appointments,"O'Brien, Gail","O'Brien, Gail",FALSE
"Ornstein, Amy E.",Canadian Institutes of Health Research,Govenor In Council Appointments,"Ornstein, Amy","Ornstein, Amy",FALSE
